"icd_decimal","icd_short"
"I21","I21"
"I21.0","I210"
"I21.01","I2101"
"I21.02","I2102"
"I21.09","I2109"
"I21.1","I211"
"I21.11","I2111"
"I21.19","I2119"
"I21.2","I212"
"I21.21","I2121"
"I21.29","I2129"
"I21.3","I213"
"I21.4","I214"
"I21.9","I219"
"I21.A","I21A"
"I21.A1","I21A1"
"I21.A9","I21A9"
"I22","I22"
"I22.0","I220"
"I22.1","I221"
"I22.2","I222"
"I22.8","I228"
"I22.9","I229"
"I71","I71"
"I71.0","I710"
"I71.00","I7100"
"I71.01","I7101"
"I71.010","I71010"
"I71.011","I71011"
"I71.012","I71012"
"I71.019","I71019"
"I71.02","I7102"
"I71.03","I7103"
"I71.1","I711"
"I71.10","I7110"
"I71.11","I7111"
"I71.12","I7112"
"I71.13","I7113"
"I71.2","I712"
"I71.20","I7120"
"I71.21","I7121"
"I71.22","I7122"
"I71.23","I7123"
"I71.3","I713"
"I71.30","I7130"
"I71.31","I7131"
"I71.32","I7132"
"I71.33","I7133"
"I71.4","I714"
"I71.40","I7140"
"I71.41","I7141"
"I71.42","I7142"
"I71.43","I7143"
"I71.5","I715"
"I71.50","I7150"
"I71.51","I7151"
"I71.52","I7152"
"I71.6","I716"
"I71.60","I7160"
"I71.61","I7161"
"I71.62","I7162"
"I71.8","I718"
"I71.9","I719"
"I79.0","I790"
"N17","N17"
"N17.0","N170"
"N17.1","N171"
"N17.2","N172"
"N17.8","N178"
"N17.9","N179"
"O90.4","O904"
"J80","J80"
"J95.1","J951"
"J95.2","J952"
"J95.3","J953"
"J95.82","J9582"
"J95.821","J95821"
"J95.822","J95822"
"J96.0","J960"
"J96.00","J9600"
"J96.01","J9601"
"J96.02","J9602"
"J96.2","J962"
"J96.20","J9620"
"J96.21","J9621"
"J96.22","J9622"
"J96.9","J969"
"J96.90","J9690"
"J96.91","J9691"
"J96.92","J9692"
"R06.03","R0603"
"R09.2","R092"
"O88.112","O88112"
"O88.113","O88113"
"O88.119","O88119"
"O88.12","O8812"
"O88.13","O8813"
"I46","I46"
"I46.2","I462"
"I46.8","I468"
"I46.9","I469"
"I49.0","I490"
"I49.01","I4901"
"I49.02","I4902"
"5A2204Z","5A2204Z"
"5A12012","5A12012"
"D65","D65"
"D68.8","D688"
"D68.9","D689"
"O45.002","O45002"
"O45.003","O45003"
"O45.009","O45009"
"O45.012","O45012"
"O45.013","O45013"
"O45.019","O45019"
"O45.022","O45022"
"O45.023","O45023"
"O45.029","O45029"
"O45.092","O45092"
"O45.093","O45093"
"O45.O99","O45O99"
"O46.002","O46002"
"O46.003","O46003"
"O46.009","O46009"
"O46.012","O46012"
"O46.013","O46013"
"O46.019","O46019"
"O46.022","O46022"
"O46.023","O46023"
"O46.029","O46029"
"O46.092","O46092"
"O46.093","O46093"
"O46.099","O46099"
"O67.0","O670"
"O72.3","O723"
"O15","O15"
"O15.0","O150"
"O15.00","O1500"
"O15.02","O1502"
"O15.03","O1503"
"O15.1","O151"
"O15.2","O152"
"O15.9","O159"
"I97.12","I9712"
"I97.120","I97120"
"I97.121","I97121"
"I97.13","I9713"
"I97.130","I97130"
"I97.131","I97131"
"I97.710","I97710"
"I97.711","I97711"
"A81.2","A812"
"G45","G45"
"G45.0","G450"
"G45.1","G451"
"G45.2","G452"
"G45.3","G453"
"G45.4","G454"
"G45.8","G458"
"G45.9","G459"
"G46","G46"
"G46.0","G460"
"G46.1","G461"
"G46.2","G462"
"G46.3","G463"
"G46.4","G464"
"G46.5","G465"
"G46.6","G466"
"G46.7","G467"
"G46.8","G468"
"G93.49","G9349"
"H34.0","H340"
"H34.00","H3400"
"H34.01","H3401"
"H34.02","H3402"
"H34.03","H3403"
"I60","I60"
"I60.0","I600"
"I60.00","I6000"
"I60.01","I6001"
"I60.02","I6002"
"I60.1","I601"
"I60.10","I6010"
"I60.11","I6011"
"I60.12","I6012"
"I60.2","I602"
"I60.3","I603"
"I60.30","I6030"
"I60.31","I6031"
"I60.32","I6032"
"I60.4","I604"
