"diagnosis_code","diagnosis_description"
"V82.9","Screening for unspecified condition"
"189.0","Malignant neoplasm of kidney, except pelvis"
"225.0","Benign neoplasm of brain"
"191.9","Malignant neoplasm of brain, unspecified"
"174.9","Malignant neoplasm of breast (female), unspecified"
"193","Malignant neoplasm of thyroid gland"
"174.8","Malignant neoplasm of other specified sites of female breast"
"237.0","Neoplasm of uncertain behavior of pituitary gland and craniopharyngeal duct"
"252.01","Primary hyperparathyroidism"
"245.2","Chronic lymphocytic thyroiditis"
"V76.49","Special screening for malignant neoplasms of other sites"
"245.9","Thyroiditis, unspecified"
"172.9","Melanoma of skin, site unspecified"
"210.2","Benign neoplasm of major salivary glands"
"202.80","Other malignant lymphomas, unspecified site, extranodal and solid organ sites"
"285.8","Other specified anemias"
"V10.79","Personal history of other lymphatic and hematopoietic neoplasms"
"204.90","Unspecified lymphoid leukemia, without mention of having achieved remission"
"204.00","Acute lymphoid leukemia, without mention of having achieved remission"
"204.01","Acute lymphoid leukemia, in remission"
"205.00","Acute myeloid leukemia, without mention of having achieved remission"
"201.90","Hodgkin's disease, unspecified type, unspecified site, extranodal and solid organ sites"
"237.71","Neurofibromatosis, type 1 [von recklinghausen's disease]"
"237.70","Neurofibromatosis, unspecified"
"208.80","Other leukemia of unspecified cell type, without mention of having achieved remission"
"201.58","Hodgkin's disease, nodular sclerosis, lymph nodes of multiple sites"
"201.91","Hodgkin's disease, unspecified type, lymph nodes of head, face, and neck"
"201.00","Hodgkin's paragranuloma, unspecified site, extranodal and solid organ sites"
"748.1","Other anomalies of nose"
"574.30","Calculus of bile duct with acute cholecystitis, without mention of obstruction"
"237.5","Neoplasm of uncertain behavior of brain and spinal cord"
"205.01","Acute myeloid leukemia, in remission"
"208.00","Acute leukemia of unspecified cell type, without mention of having achieved remission"
"209.21","Malignant carcinoid tumor of the bronchus and lung"
"162.5","Malignant neoplasm of lower lobe, bronchus or lung"
"205.11","Chronic myeloid leukemia, in remission"
"205.10","Chronic myeloid leukemia, without mention of having achieved remission"
"205.12","Chronic myeloid leukemia, in relapse"
"201.60","Hodgkin's disease, mixed cellularity, unspecified site, extranodal and solid organ sites"
"237.3","Neoplasm of uncertain behavior of paraganglia"
"194.5","Malignant neoplasm of carotid body"
"162.9","Malignant neoplasm of bronchus and lung, unspecified"
"162.3","Malignant neoplasm of upper lobe, bronchus or lung"
"204.10","Chronic lymphoid leukemia, without mention of having achieved remission"
"200.37","Marginal zone lymphoma, spleen"
"211.2","Benign neoplasm of duodenum, jejunum, and ileum"
"201.40","Hodgkin's disease, lymphocytic-histiocytic predominance, unspecified site, extranodal and solid organ sites"
"201.98","Hodgkin's disease, unspecified type, lymph nodes of multiple sites"
"208.91","Unspecified leukemia, in remission"
"574.31","Calculus of bile duct with acute cholecystitis, with obstruction"
"174.2","Malignant neoplasm of upper-inner quadrant of female breast"
"174.0","Malignant neoplasm of nipple and areola of female breast"
"174.1","Malignant neoplasm of central portion of female breast"
"202.81","Other malignant lymphomas, lymph nodes of head, face, and neck"
"191.0","Malignant neoplasm of cerebrum, except lobes and ventricles"
"201.92","Hodgkin's disease, unspecified type, intrathoracic lymph nodes"
"160.0","Malignant neoplasm of nasal cavities"
"200.20","Burkitt's tumor or lymphoma, unspecified site, extranodal and solid organ sites"
"200.23","Burkitt's tumor or lymphoma, intra-abdominal lymph nodes"
"200.21","Burkitt's tumor or lymphoma, lymph nodes of head, face, and neck"
"200.22","Burkitt's tumor or lymphoma, intrathoracic lymph nodes"
"202.00","Nodular lymphoma, unspecified site, extranodal and solid organ sites"
"200.28","Burkitt's tumor or lymphoma, lymph nodes of multiple sites"
"202.83","Other malignant lymphomas, intra-abdominal lymph nodes"
"202.88","Other malignant lymphomas, lymph nodes of multiple sites"
"200.24","Burkitt's tumor or lymphoma, lymph nodes of axilla and upper limb"
"273.3","Macroglobulinemia"
"202.84","Other malignant lymphomas, lymph nodes of axilla and upper limb"
"200.70","Large cell lymphoma, unspecified site, extranodal and solid organ sites"
"238.75","Myelodysplastic syndrome, unspecified"
"203.11","Plasma cell leukemia, in remission"
"208.90","Unspecified leukemia, without mention of having achieved remission"
"204.80","Other lymphoid leukemia, without mention of having achieved remission"
"201.50","Hodgkin's disease, nodular sclerosis, unspecified site, extranodal and solid organ sites"
"200.10","Lymphosarcoma, unspecified site, extranodal and solid organ sites"
"201.51","Hodgkin's disease, nodular sclerosis, lymph nodes of head, face, and neck"
"200.40","Mantle cell lymphoma, unspecified site, extranodal and solid organ sites"
"237.72","Neurofibromatosis, type 2 [acoustic neurofibromatosis]"
"Z13.9","Encounter for screening, unspecified"
"C34.90","Malignant neoplasm of unspecified part of unspecified bronchus or lung"
"D64.89","Other specified anemias"
"C50.911","Malignant neoplasm of unspecified site of right female breast"
"C50.919","Malignant neoplasm of unspecified site of unspecified female breast"
"C50.912","Malignant neoplasm of unspecified site of left female breast"
"C50.812","Malignant neoplasm of overlapping sites of left female breast"
"C50.012","Malignant neoplasm of nipple and areola, left female breast"
"C50.019","Malignant neoplasm of nipple and areola, unspecified female breast"
"C74.90","Malignant neoplasm of unspecified part of unspecified adrenal gland"
"C50.412","Malignant neoplasm of upper-outer quadrant of left female breast"
"D35.00","Benign neoplasm of unspecified adrenal gland"
"D35.01","Benign neoplasm of right adrenal gland"
"E06.3","Autoimmune thyroiditis"
"D35.02","Benign neoplasm of left adrenal gland"
"Z12.89","Encounter for screening for malignant neoplasm of other sites"
"D46.9","Myelodysplastic syndrome, unspecified"
"C43.9","Malignant melanoma of skin, unspecified"
"C81.90","Hodgkin lymphoma, unspecified, unspecified site"
"C81.12","Nodular sclerosis Hodgkin lymphoma, intrathoracic lymph nodes"
"E06.9","Thyroiditis, unspecified"
"Q30.8","Other congenital malformations of nose"
"D44.7","Neoplasm of uncertain behavior of aortic body and other paraganglia"
