diagnosis_code,diagnosis_description,overlap_1FL
V82.9,Screening for unspecified condition,0
189,"Malignant neoplasm of kidney, except pelvis",0
225,Benign neoplasm of brain,0
191.9,"Malignant neoplasm of brain, unspecified",0
174.9,"Malignant neoplasm of breast (female), unspecified",0
193,Malignant neoplasm of thyroid gland,0
174.8,Malignant neoplasm of other specified sites of female breast,0
237,Neoplasm of uncertain behavior of pituitary gland and craniopharyngeal duct,0
252.01,Primary hyperparathyroidism,0
245.2,Chronic lymphocytic thyroiditis,0
V76.49,Special screening for malignant neoplasms of other sites,0
245.9,"Thyroiditis, unspecified",0
172.9,"Melanoma of skin, site unspecified",0
210.2,Benign neoplasm of major salivary glands,0
202.8,"Other malignant lymphomas, unspecified site, extranodal and solid organ sites",0
285.8,Other specified anemias,0
V10.79,Personal history of other lymphatic and hematopoietic neoplasms,0
204.9,"Unspecified lymphoid leukemia, without mention of having achieved remission",0
204,"Acute lymphoid leukemia, without mention of having achieved remission",0
204.01,"Acute lymphoid leukemia, in remission",0
205,"Acute myeloid leukemia, without mention of having achieved remission",0
201.9,"Hodgkin's disease, unspecified type, unspecified site, extranodal and solid organ sites",0
237.71,"Neurofibromatosis, type 1 [von recklinghausen's disease]",0
237.7,"Neurofibromatosis, unspecified",0
208.8,"Other leukemia of unspecified cell type, without mention of having achieved remission",0
201.58,"Hodgkin's disease, nodular sclerosis, lymph nodes of multiple sites",0
201.91,"Hodgkin's disease, unspecified type, lymph nodes of head, face, and neck",0
201,"Hodgkin's paragranuloma, unspecified site, extranodal and solid organ sites",0
748.1,Other anomalies of nose,0
574.3,"Calculus of bile duct with acute cholecystitis, without mention of obstruction",0
237.5,Neoplasm of uncertain behavior of brain and spinal cord,0
205.01,"Acute myeloid leukemia, in remission",0
208,"Acute leukemia of unspecified cell type, without mention of having achieved remission",0
209.21,Malignant carcinoid tumor of the bronchus and lung,0
162.5,"Malignant neoplasm of lower lobe, bronchus or lung",0
205.11,"Chronic myeloid leukemia, in remission",0
205.1,"Chronic myeloid leukemia, without mention of having achieved remission",0
205.12,"Chronic myeloid leukemia, in relapse",0
